portaria;data_ato;publicado_em;portos;migracao_definitiva_ate;fonte
SEP-135/2011;2011-07-13;2011-07-14;Vitória;2011-09-01;data\documents\interventions\PSP\dou\legacy_scan\2011-07-14\pg002.txt
SEP-142/2012;2012-04-30;2012-05-02;Fortaleza e Terminal Portuário de Pecém;2012-05-10;data\documents\interventions\PSP\dou\legacy_scan\2012-05-02\pg008.txt
SEP-162/2012;2012-06-14;2012-06-15;Recife e Suape;2012-07-03;data\documents\interventions\PSP\dou\legacy_scan\2012-06-15\pg010.txt
SEP-163/2012;2012-06-14;2012-06-15;Cabedelo;2012-08-01;data\documents\interventions\PSP\dou\legacy_scan\2012-06-15\pg010.txt
SEP-202/2012;2012-08-08;2012-08-09;Natal, Areia Branca e Maceió;2012-08-28;data\documents\interventions\PSP\dou\legacy_scan\2012-08-09\pg007.txt
SEP-231/2012;2012-09-25;2012-09-26;Antonina, Paranaguá e São Sebastião;2012-10-30;data\documents\interventions\PSP\dou\legacy_scan\2012-09-26\pg001.txt
SEP-240/2012;2012-10-19;2012-10-22;Pelotas, Porto Alegre e Rio Grande;2012-11-27;data\documents\interventions\PSP\dou\legacy_scan\2012-10-22\pg009.txt
SEP-48/2013;2013-04-02;2013-04-03;Belém, Itaqui, Santana (Macapá),Santarém e Vila do Conde;2013-04-23;data\documents\interventions\PSP\dou\portaria-n-48-de-2-de-abril-de-2013-30037045.txt
SEP-52/2013;2013-04-11;2013-04-12;Manaus;2013-05-14;data\documents\interventions\PSP\dou\portaria-n-52-de-11-de-abril-de-2013-30037738.txt
